form,uri
Wine Ontology,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine
wine,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Wine
Napa Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#NapaRegion
Petite Syrah,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#PetiteSyrah
Meursault,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Meursault
Malbec Grape,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#MalbecGrape
Clos De Vougeot,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#ClosDeVougeot
St Genevieve,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#StGenevieve
USRegion,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#USRegion
Schloss Rothermel Trochenbierenauslese Riesling,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#SchlossRothermelTrochenbierenausleseRiesling
has Color,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#hasColor
Wine Taste,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#WineTaste
Strong,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Strong
California Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CaliforniaRegion
Mountadam Pinot Noir,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#MountadamPinotNoir
Rose,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Rose
Chateau Margaux,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#ChateauMargaux
Congress Springs Semillon,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CongressSpringsSemillon
Riesling,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Riesling
Chardonnay,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Chardonnay
Schloss Rothermel,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#SchlossRothermel
German Wine,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#GermanWine
Santa Cruz Mountain Vineyard,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#SantaCruzMountainVineyard
Sweet,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Sweet
White Table Wine,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#WhiteTableWine
Port,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Port
Gary Farrell,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#GaryFarrell
Pauillac Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#PauillacRegion
Cotes DOr,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CotesDOr
Sauvignon Blanc,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#SauvignonBlanc
Stonleigh Sauvignon Blanc,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#StonleighSauvignonBlanc
Red Burgundy,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#RedBurgundy
Puligny Montrachet,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#PulignyMontrachet
Kathryn Kennedy Lateral,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#KathrynKennedyLateral
Texas Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#TexasRegion
Off Dry,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#OffDry
Corbans Private Bin Sauvignon Blanc,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CorbansPrivateBinSauvignonBlanc
Santa Barbara Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#SantaBarbaraRegion
Longridge Merlot,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#LongridgeMerlot
Chenin Blanc Grape,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CheninBlancGrape
Moderate,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Moderate
Meursault Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#MeursaultRegion
Kalin Cellars,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#KalinCellars
Wine Sugar,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#WineSugar
Muscadet Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#MuscadetRegion
Corbans,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Corbans
located In,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#locatedIn
American Wine,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#AmericanWine
Chianti Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#ChiantiRegion
Sean Thackrey Sirius Petite Syrah,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#SeanThackreySiriusPetiteSyrah
Wine Descriptor,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#WineDescriptor
Merlot Grape,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#MerlotGrape
Edna Valley Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#EdnaValleyRegion
Cabernet Franc,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CabernetFranc
Pinot Blanc Grape,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#PinotBlancGrape
Chateau Lafite Rothschild Pauillac,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#ChateauLafiteRothschildPauillac
Arroyo Grande Region,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#ArroyoGrandeRegion
Rose DAnjou,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#RoseDAnjou
Mountadam Riesling,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#MountadamRiesling
French Wine,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#FrenchWine
Chianti Classico,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#ChiantiClassico
Chateau De Meursault Meursault,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#ChateauDeMeursaultMeursault
Forman Cabernet Sauvignon,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#FormanCabernetSauvignon
Dry,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#Dry
